LA1,-22.6151,-14.6858,-14.0578960146253,0,1,1,0.238419,1
LA2,-26.6467,-16.1137,-14.2165389349578,0,2,2,0.238419,1
LA3,-31.5113,-16.243,-12.8804421550671,0,3,3,0.238419,1
LA4,-35.8502,-16.7188,-14.0049827786147,0,4,4,0.238419,1
LA5,-40.2624,-17.8615,-14.5002568706339,0,5,5,0.238419,1
LA6,-46.2405,-18.2538,-15.158570632941,0,6,6,0.238419,1
LA7,-53.3082,-18.3509,-14.3478194672422,0,7,7,0.238419,1
LA8,-59.2042,-18.3861,-14.1512808478485,0,8,8,0.238419,1
LB1,-27.3419,-39.7851,-10.231589142063,0,9,9,0.238419,1
LB2,-32.4649,-41.5991,-10.9395326914077,0,10,10,0.238419,1
LB3,-36.9,-45.4067,-11.5203940505193,0,11,11,0.238419,1
LB4,-40.0835,-50.4677,-13.0320990641242,0,12,12,0.238419,1
LB5,-42.8683,-55.2035,-11.3091479694056,0,13,13,0.238419,1
LB6,-48.7192,-57.214,-10.6688295948959,0,14,14,0.238419,1
LB7,-54.6324,-56.7408,-11.3088279878213,0,15,15,0.238419,1
LB8,-61.5809,-57.0963,-11.3243806529945,0,16,16,0.238419,1
LC1,-31.3619,-54.5778,-10.0752069979534,0,17,17,0.238419,1
LC2,-35.6575,-55.794,-8.61047999620125,0,18,18,0.238419,1
LC3,-39.476,-57.0777,-7.97209674145775,0,19,19,0.238419,1
LC4,-43.3065,-57.348,-6.30307816838863,0,20,20,0.238419,1
LC5,-47.4955,-55.0752,-6.30254337817085,0,21,21,0.238419,1
LC6,-52.7324,-51.8949,-6.4178663673988,0,22,22,0.238419,1
LC7,-60.5956,-49.7155,-3.64244878664767,0,23,23,0.238419,1
LC8,-67.3046,-50.1983,0.319153031145256,0,24,24,0.238419,1
LD1,-3.44523,-53.6412,33.3702781400601,0,25,25,0.238419,1
LD2,-8.86702,-53.9146,33.8543407820621,0,26,26,0.238419,1
LD3,-13.8746,-52.6722,33.2928743105518,0,27,27,0.238419,1
LD4,-19.5075,-52.6674,32.0369642327989,0,28,28,0.238419,1
LD5,-24.3886,-52.8675,31.75281929175,0,29,29,0.238419,1
LD6,-28.9177,-53.0292,30.3216543570851,0,30,30,0.238419,1
LD7,-33.2433,-53.2332,30.3009966901855,0,31,31,0.238419,1
LD8,-37.9138,-54.7353,30.1908720547882,0,32,32,0.238419,1
LE1,-30.1948,7.63972,-4.01283639461234,0,33,33,0.238419,1
LE2,-28.9957,10.8929,0.702736191142666,0,34,34,0.238419,1
LE3,-28.4255,13.8404,4.8151421864699,0,35,35,0.238419,1
LE4,-28.0385,16.455,9.18286844970369,0,36,36,0.238419,1
LE5,-27.6181,18.4821,13.4709486918918,0,37,37,0.238419,1
LE6,-25.8444,20.031,19.1189710274581,0,38,38,0.238419,1
LE7,-25.011,20.7179,25.4692747666984,0,39,39,0.238419,1
LE8,-27.0833,21.3867,32.1999637858478,0,40,40,0.238419,1
LF1,-7.42878,32.138,-13.3258443643325,0,41,41,0.238419,1
LF2,-9.60239,31.3688,-6.03042873886349,0,42,42,0.238419,1
LF3,-11.4363,31.2815,-0.855213741607133,0,43,43,0.238419,1
LF4,-13.1485,31.6346,3.8194467684177,0,44,44,0.238419,1
LF5,-14.8512,32.8526,7.30822939047553,0,45,45,0.238419,1
LF6,-17.8834,34.9558,11.3083992903648,0,46,46,0.238419,1
LF7,-19.3376,37.9403,17.6060442575483,0,47,47,0.238419,1
LF8,-18.2208,40.0786,22.6611638952743,0,48,48,0.238419,1
LF9,-19.0619,42.2286,26.965477891372,0,49,49,0.238419,1
LF10,-20.874,44.5939,32.721132632501,0,50,50,0.238419,1
LF11,-23.9663,46.9751,37.1260398780413,0,51,51,0.238419,1
LF12,-26.1702,48.8356,43.4487005701444,0,52,52,0.238419,1
LG1,-7.25819,30.9984,5.74254618127264,0,53,53,0.238419,1
LG2,-12.5438,30.5647,8.15935574133524,0,54,54,0.238419,1
LG3,-17.3254,31.3304,9.8986199367057,0,55,55,0.238419,1
LG4,-22.9706,33.7409,13.6335966460859,0,56,56,0.238419,1
LG5,-26.7044,37.2362,18.4397112518859,0,57,57,0.238419,1
LG6,-27.8391,38.4953,24.2352363440487,0,58,58,0.238419,1
LG7,-29.1343,38.5177,29.1719724091769,0,59,59,0.238419,1
LG8,-34.9191,37.7437,32.049995577087,0,60,60,0.238419,1
RA1,22.8753,-19.113,-24.980607177869,0,61,61,0.238419,1
RA2,28.4773,-20.5366,-24.9362958317924,0,62,62,0.238419,1
RA3,33.7002,-21.8385,-25.5916378426293,0,63,63,0.238419,1
RA4,38.6028,-23.0363,-25.7485348425974,0,64,64,0.238419,1
RA5,42.9674,-23.7646,-25.9859209505933,0,65,65,0.238419,1
RA6,48.5877,-24.8395,-23.654125803075,0,66,66,0.238419,1
RA7,56.2678,-25.5732,-22.3083748653856,0,67,67,0.238419,1
RA8,62.8755,-26.9308,-22.9418621455925,0,68,68,0.238419,1
RB1,21.087,-32.5236,-13.606284118784,0,69,69,0.238419,1
RB2,25.971,-36.1537,-14.0951819163655,0,70,70,0.238419,1
RB3,30.7852,-38.611,-14.5343456111306,0,71,71,0.238419,1
RB4,34.0721,-40.6257,-16.5429982056141,0,72,72,0.238419,1
RB5,37.012,-44.3103,-16.355046294486,0,73,73,0.238419,1
RB6,43.4264,-48.3509,-15.7530521579161,0,74,74,0.238419,1
RB7,50.6722,-51.0594,-13.9642864020225,0,75,75,0.238419,1
RB8,57.0215,-54.5471,-13.2559267707826,0,76,76,0.238419,1
RC1,13.5743,-72.4454,-9.08487673646297,0,77,77,0.238419,1
RC2,17.6254,-76.9359,-8.64709799245352,0,78,78,0.238419,1
RC3,21.8031,-78.3725,-7.16427646046115,0,79,79,0.238419,1
RC4,25.2026,-79.0001,-5.5762528985243,0,80,80,0.238419,1
RC5,28.7013,-81.5257,-0.980945062238473,0,81,81,0.238419,1
RC6,32.6081,-84.1388,3.0934688405491,0,82,82,0.238419,1
RC7,35.6307,-85.71,9.84578155387345,0,83,83,0.238419,1
RC8,39.1715,-87.0753,12.4836278196372,0,84,84,0.238419,1
RE1,38.686,1.8167,-6.22268478412455,0,85,85,0.238419,1
RE2,38.6429,4.03759,-0.623933827741692,0,86,86,0.238419,1
RE3,37.6933,6.05383,4.0345901851177,0,87,87,0.238419,1
RE4,37.1257,8.78684,9.29127083168561,0,88,88,0.238419,1
RE5,36.2014,11.2269,15.82612667328,0,89,89,0.238419,1
RE6,36.4401,13.1915,20.6829409864478,0,90,90,0.238419,1
RE7,37.8512,15.8359,25.3679995364448,0,91,91,0.238419,1
RE8,36.8289,17.535,29.5482971934761,0,92,92,0.238419,1
RF1,11.4646,15.8776,-17.5620596864971,0,93,93,0.238419,1
RF2,14.4052,16.1214,-13.3589360379329,0,94,94,0.238419,1
RF3,17.2558,16.7977,-9.17369354929962,0,95,95,0.238419,1
RF4,19.4728,17.4017,-4.36472335169426,0,96,96,0.238419,1
RF5,21.8564,18.3549,1.44575381937151,0,97,97,0.238419,1
RF6,25.0149,19.8169,6.25890552730542,0,98,98,0.238419,1
RF7,26.5805,21.383,12.0408120426512,0,99,99,0.238419,1
RF8,32.2508,23.3627,18.182436239532,0,100,100,0.238419,1
RF9,36.5348,25.5616,22.8737141797508,0,101,101,0.238419,1
RF10,38.272,27.7943,26.0844977237927,0,102,102,0.238419,1
RF11,40.0765,29.8956,29.0671658181307,0,103,103,0.238419,1
RF12,41.169,33.761,31.9479443572521,0,104,104,0.238419,1
RG1,8.9704,38.0017,0.394366166093487,0,105,105,0.238419,1
RG2,12.7349,36.7012,4.6130751543461,0,106,106,0.238419,1
RG3,16.5823,34.3911,7.30196237722696,0,107,107,0.238419,1
RG4,21.4547,34.2086,9.61062428989948,0,108,108,0.238419,1
RG5,25.9614,34.3688,13.1670538033671,0,109,109,0.238419,1
RG6,30.1083,33.6818,17.6576950205809,0,110,110,0.238419,1
RG7,34.4814,34.0044,19.8404760957099,0,111,111,0.238419,1
RG8,37.8576,35.6713,24.429808509928,0,112,112,0.238419,1
